channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
Bernadette Banner,UCSHtaUm-FjUps090S7crO4Q,I hand sewed a pirate shirt using 18th century sewing methods,I hand sewed a pirate shirt using 18th century sewing methods,Ql9r8UKIvZs,0,27,98265,2020-09-11 17:25:24,44,en,asr,27,Education,True
Bernadette Banner,UCSHtaUm-FjUps090S7crO4Q,I hand sewed a pirate shirt using 18th century sewing methods,I hand sewed a pirate shirt using 18th century sewing methods,Ql9r8UKIvZs,0,27,98265,2020-09-11 17:25:24,44,en,standard,27,Education,True
Bitwit,UCftcLVz-jtPXoH3cWUUDwYw,My RTX 3080 arrived today! And I noticed some things,My RTX 3080 arrived today! And I noticed some things,UV8WfnevkiI,0,28,672245,2020-09-11 17:25:24,45,en,asr,28,Science & Technology,True
colinfurze,UCp68_FLety0O-n9QU6phsgw,The Triple Bath (with slide yo),The Triple Bath (with slide yo),ae93CBUrPB8,0,24,824632,2020-09-11 17:25:24,46,en,asr,24,Entertainment,True
DMAXRYNO,UCEV0wvwOvj-qAhqwo4eZ5dw,SURVEYING MY RANCH AFTER THE FIRE,SURVEYING MY RANCH AFTER THE FIRE,sNpV8MQ4aY8,0,2,202021,2020-09-11 17:25:24,47,en,asr,2,Autos & Vehicles,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,ar,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,de,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,en,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,es,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,fi,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,fr,standard,20,Gaming,True
