channelId,channelTitle,videoCategoryId,videoId,videoQueryTime,videoSearchCategoryId,videoTitle,videoTitleLoc,videoTrendingRank,videoViews,captionLang,captionType,assignable,id,videoCategory
UC652oRUvX1onwrrZ8ADJRPw,Playboi Carti,10,xuXQMab_X0Y,2020-12-26 01:00:05,0,Playboi Carti ft. Kanye West - Go2DaMoon (Official Audio),Playboi Carti ft. Kanye West - Go2DaMoon (Official Audio),1,1558211,ko,asr,True,10,Music
UCaxOQZrF5llUMp-JjesUz1A,Lil Durk,10,8ONAoSVmfhU,2020-12-26 01:00:05,0,Lil Durk - Still Trappin feat. King Von (Official Lyric Video),Lil Durk - Still Trappin feat. King Von (Official Lyric Video),2,2698234,pt,asr,True,10,Music
UCVtFOytbRpEvzLjvqGG5gxQ,KSI,10,0AKNxqOT8hw,2020-12-26 01:00:05,0,KSI - DOMAIN,KSI - DOMAIN,3,1785244,en,asr,True,10,Music
UC652oRUvX1onwrrZ8ADJRPw,Playboi Carti,10,OtODGvnXleY,2020-12-26 01:00:05,0,Playboi Carti - Place (Official Audio),Playboi Carti - Place (Official Audio),4,743787,es,asr,True,10,Music
UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,10,G2yVKKQXQiQ,2020-12-26 01:00:05,0,Daddy Yankee - CORONA | Freestyle (Video Oficial),Daddy Yankee - CORONA | Freestyle (Video Oficial),5,2912464,es,asr,True,10,Music
UCLFXk9J3O-hhOk0msOjKYdQ,TerminalMontage,20,KaZN4EVVzRY,2020-12-26 01:00:05,0,A Very Kirbo Christmas,A Very Kirbo Christmas,6,2170914,en,asr,True,20,Gaming
UCLFXk9J3O-hhOk0msOjKYdQ,TerminalMontage,20,KaZN4EVVzRY,2020-12-26 01:00:05,0,A Very Kirbo Christmas,A Very Kirbo Christmas,6,2170914,en,standard,True,20,Gaming
UCKzhoblE_rPZbHtQKPVUp2A,SZAVEVO,10,oh64haEP9g8,2020-12-26 01:00:05,0,SZA - Good Days (Audio),SZA - Good Days (Audio),7,491638,en,asr,True,10,Music
UCSWKNHx2g_yk9VlErHqJaMw,Lil Durk - Topic,10,MCvBE4euSEk,2020-12-26 01:00:05,0,Redman,Redman,8,391498,en,asr,True,10,Music
UCYxRlFDqcWM4y7FfpiAN3KQ,The White House,25,RuP2FD1F6eQ,2020-12-26 01:00:05,0,The President and First Lady's 2020 Christmas Message,The President and First Lady's 2020 Christmas Message,9,595144,en,asr,True,25,News & Politics
